,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed
526,laplace,30.07,-90.48,299.35,78,1,2.1
527,addis zemen,,,,,,
528,ostrovnoy,68.05,39.51,274.9,93,100,7.78
529,sangar,63.92,127.47,272.21,98,100,2.45
530,melioratorov,57.21,65.61,269.15,53,93,5
531,banjar,-8.19,114.97,301.15,94,20,1.5
532,mahuva,21.09,71.76,297.3,71,0,3.56
533,saint anthony,45.02,-93.22,281.31,29,40,10.8
534,port lincoln,-34.73,135.87,290.21,70,69,3.77
535,kamenskoye,,,,,,
536,bethanien,-26.5,17.16,290.12,24,0,0.84
537,honiara,-9.43,159.95,304.15,66,20,3.1
538,richards bay,-28.78,32.04,292.36,77,94,0.5
539,wasilla,61.58,-149.44,274.72,34,1,5.1
540,ust-ishim,57.69,71.17,270.56,94,100,6.35
541,deer lake,49.17,-57.43,270.15,63,20,2.1
542,tokur,53.13,132.9,271.57,74,8,0.59
543,kilindoni,-7.91,39.67,301.97,73,92,5.26
544,sinnamary,5.38,-52.95,299.59,81,90,6.17
545,flinders,-34.58,150.86,293.23,68,75,5.1
546,acapulco,16.86,-99.89,302.15,79,40,3.1
547,lazaro cardenas,17.96,-102.2,301.8,54,38,3.13
548,coahuayana,18.73,-103.68,304.15,29,40,2.6
549,biltine,14.53,20.92,301.61,12,21,5.07
550,tawau,4.25,117.89,298.88,94,20,1
551,entre rios,-11.94,-38.08,296.11,82,62,1.57
552,moratuwa,6.77,79.88,298.55,85,11,0.74
553,astara,38.5,48.67,274.35,66,96,1.31
554,totness,5.88,-56.32,299.48,83,97,5.65
555,amurzet,47.7,131.1,278.82,60,63,2.29
556,lixourion,38.2,20.43,284.26,30,43,1.52
557,cullinan,-25.67,28.52,287.49,87,62,2.6
558,dudinka,69.41,86.18,270.15,79,76,9
559,westlock,54.15,-113.87,275.53,51,1,3.6
560,liverpool,53.41,-2.98,281.9,76,62,2.1
561,ustka,54.58,16.86,284.19,66,93,5.66
562,taltal,-25.4,-70.48,290.87,77,6,0.96
563,machali,-34.18,-70.67,290.57,37,0,0.58
564,la palma,33.85,-118.05,287.33,55,20,4.6
565,ardakan,32.31,54.02,278.15,100,75,4.1
566,port macquarie,-31.43,152.92,293.16,82,100,3.1
567,saint-pierre,-21.34,55.48,293.99,69,1,4.1
568,ugoofaaru,5.67,73,302.48,74,35,4.02
569,konevo,62.12,39.32,275.09,81,100,4.53
570,itamarandiba,-17.86,-42.86,292.81,75,83,1.85
571,maroantsetra,-15.43,49.73,296.37,83,49,0.73
572,leh,34.17,77.58,262.75,28,31,2.09
573,viransehir,37.24,39.76,284.08,62,68,2.54
574,lolua,,,,,,
575,rundu,-17.93,19.77,292.31,49,19,1.29
576,havelock,34.88,-76.9,294.4,68,40,4.1
577,pulandian,39.4,121.97,283.15,37,12,3
578,salta,-24.79,-65.41,287.55,87,90,2.1
579,uvira,-3.41,29.15,295.4,47,82,0.42
580,santa maria,-29.68,-53.81,285.15,87,0,1
581,jyvaskyla,62.24,25.72,278.16,80,90,7.2
582,shahrud,36.42,54.98,271.92,54,95,1.68
583,chifeng,42.27,118.96,275.92,57,29,2.78
584,sao joao da barra,-21.64,-41.05,295,85,100,4.25
585,semnan,35.57,53.4,277.16,45,98,2.4
586,mareeba,-17,145.43,300.91,61,40,5.1
587,alanya,36.54,32,288.29,64,82,2.31
588,oktyabrskiy,54.48,53.47,273.87,89,97,2.77
589,mahajanga,-15.72,46.32,299.15,83,20,2.6
590,sibolga,1.74,98.78,298.4,79,99,1.6
591,quatre cocos,-20.21,57.76,298.71,82,69,1.79
592,wajir,1.75,40.06,299.92,66,12,6.38
593,shambu,9.57,37.1,288.8,30,57,0.89
594,ouesso,1.61,16.05,294.83,85,100,0.52
595,chanderi,24.72,78.13,295.51,30,12,3.01
596,vigrestad,58.57,5.7,277.93,87,40,4.6
597,riachao do jacuipe,-11.81,-39.39,298.81,70,58,4.1
598,peniche,39.36,-9.38,288.96,87,75,1
599,sao sebastiao,-23.76,-45.41,294.03,75,95,2.79
600,tsumeb,-19.23,17.72,292.89,50,50,2.35
601,sampit,-2.53,112.95,296.21,95,100,0.99
602,severobaykalsk,55.65,109.32,274.45,64,0,1.05
603,mecca,21.43,39.83,296.6,54,43,0.89
604,pascagoula,30.37,-88.56,298.87,78,1,3.1
605,okhotsk,59.38,143.3,273.01,92,33,7.94
606,thanatpin,17.21,96.3,298.15,88,59,2.1
607,mezhdurechensk,53.69,88.06,274.73,85,100,0.88
608,waingapu,-9.66,120.26,300.91,73,13,0.95
609,savinka,50.08,47.1,278.88,60,63,6.44
610,huilong,31.81,121.66,288.71,76,9,1.79
611,atka,,,,,,
612,tapaua,,,,,,
613,wilmington,34.23,-77.94,294.21,88,1,3.1
614,elmira,42.09,-76.81,281.9,81,1,0.83
615,maracaju,-21.61,-55.17,293.2,68,0,3.26
616,tuensang,26.28,94.83,290.69,36,11,1.52
617,floro,61.6,5.03,276.74,71,94,8.7
618,amot,59.57,7.99,274.26,69,19,0.89
619,boa vista,2.82,-60.67,301.15,78,75,3.6
620,korhogo,9.45,-5.63,300.9,46,90,4.17
